category,name,price,description,image_url,allergens,additives,available
Empfehlung des Hauses️,Schnitzery Bowl,13.50,Käsemacaroni mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/63fd848ee627864a20e47d6c1ab6a4b0/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Erdnüsse, Weizen, Eier, Milch Aditivos: Konservierungsstoff",Konservierungsstoff,true
Empfehlung des Hauses️,Schnitzel'n'Fries,13.50,Pommes mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/74fd1722a69e39a901bc4c12a3ab9228/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Empfehlung des Hauses️,Burgery Garlic Pam,13.90,"hausgemachtes Brioche Bun mit paniertem Hähnchenbrustfilet, Eisbergsalat, Parmesankäse und Garlic Sauce",https://tb-static.uber.com/prod/image-proc/processed_images/d81999f95e6cccc3ffde76f27aa52ae1/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Empfehlung des Hauses️,Schnitzel‘n‘Rice,15.50,Reis mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings (Krautsalat oder Rotkohlsalat) und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/d3af68415e0682a073ba2bbd829aae90/70aa2a4db7f990373ca9c376323e3dea.jpeg,,,true
Empfehlung des Hauses️,Schnitzery Bestseller Bowl.,15.50,"Käsemacaroni mit paniertem Hähnchenbrustfilet, dazu  Krautsalat, Röstzwiebeln und Garlic'n'Spicy - Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/fa6cc88d7856d49bdd7ea11c831e9d1f/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Empfehlung des Hauses️,Schnitzery Klassiker Bowl.,15.50,"Käsemacaroni mit paniertem Hähnchenbrustfilet, dazu  Krautsalat, Rotkohlsalat, Garlic'n'Spicy - und Honey Mustard Soße",https://tb-static.uber.com/prod/image-proc/processed_images/9e5068abcfdf101ef1a9ea6f999a93b4/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Schwrap,9.90,Käsemacaroni mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen im Wrap.,https://tb-static.uber.com/prod/image-proc/processed_images/2ee36bc01da6e8afd2eea7df3e0ed0ff/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Maccaroni'n'Cheese,9.90,Käsemacaroni und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/07e0ae30c1672aa5ce07116e4c280ca4/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Erdnüsse, Weizen, Eier, Milch Aditivos: Konservierungsstoff",Konservierungsstoff,true
Speisen (Halal) ️,Schnitzel Bowl,12.50,2 panierte Hähnchenbrustfilets und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/9f2818ab43490049d898a2c3f1df17fc/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Erdnüsse, Weizen, Eier, Milch Aditivos: Konservierungsstoff",Konservierungsstoff,true
Speisen (Halal) ️,Schnitzery Bowl,13.50,Käsemacaroni mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/63fd848ee627864a20e47d6c1ab6a4b0/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Erdnüsse, Weizen, Eier, Milch Aditivos: Konservierungsstoff",Konservierungsstoff,true
